,taxon,scp_h,scp_lat,flws_n,spt_long,spt_lat,ped_long,ped_lat,ov_long,ov_lat,perig_form,perig_long,perig_diam,tub_lat,tep1_long,tep1_lat,tep3_long,tep3_lat,color,fil1_long,fil2_long,ant_long,est_long,est_form,coron_typ
81,P35_Phycella_lutea_P002_WF05,16.0,4.5,2,,,26.0,2.0,9.0,4.0,1,32.0,38.0,3.0,37.0,10.5,34.5,10.0,3,24.0,18.0,5.5,33.0,1,2
82,P36_Phycella_australis_P002_WH05,55.0,7.0,5,25.0,8.0,34.0,2.0,7.0,3.5,0,51.0,20.0,4.0,52.0,12.0,52.0,15.0,0,50.0,45.0,3.0,55.0,0,0
83,P36_Phycella_australis_P002_WA06,56.0,8.0,4,,,29.0,2.5,9.0,4.8,0,59.0,20.0,4.5,62.0,17.0,62.0,19.0,0,53.0,48.0,3.0,60.0,0,0
84,P36_Phycella_australis_P002_WB06,52.0,7.0,6,35.0,7.0,32.0,1.5,7.0,4.5,0,50.0,17.0,4.0,51.5,13.0,52.0,15.0,0,50.0,43.0,3.0,60.0,0,0
85,P38_Phycella_chilensis_P002_WE06,47.0,7.0,2,43.0,6.0,44.0,4.0,10.0,7.0,1,90.0,70.0,6.0,90.0,15.0,93.0,18.0,0,42.0,34.0,4.0,57.0,1,1
86,P38_Phycella_chilensis_P002_WF06,37.0,10.0,4,45.0,6.0,65.0,3.0,8.5,5.0,1,60.0,40.0,4.5,66.0,13.0,67.0,13.5,0,37.0,31.0,3.0,68.0,1,1
87,P39_Phycella_australis_P002_WG06,41.0,4.0,2,31.0,8.0,31.0,2.5,6.0,4.5,0,54.0,38.0,4.0,60.0,11.0,59.0,11.0,0,45.0,38.0,3.0,57.0,0,0
88,P39_Phycella_australis_P002_WH06,38.0,4.0,3,29.0,6.0,39.0,2.0,6.0,5.0,0,50.0,15.0,5.0,49.0,10.0,48.0,10.0,0,42.0,35.0,3.0,43.0,0,0
89,P40_Phycella_australis_P002_WB07,32.0,7.0,4,24.0,8.0,27.0,2.8,8.0,5.0,0,60.0,34.0,5.0,63.0,13.0,64.0,15.0,0,50.0,46.0,3.0,66.0,0,0
90,P40_Phycella_australis_P002_WC07,35.0,7.0,3,,,65.0,2.0,6.0,5.0,0,65.0,30.0,4.0,70.0,8.0,71.0,13.0,0,60.0,52.0,2.0,74.0,0,0
91,P41_Phycella_chilensis_P002_WE07,31.0,5.0,1,52.0,6.0,30.0,3.0,9.0,5.0,1,70.0,80.0,5.5,79.0,20.0,79.0,20.0,0,40.0,33.0,4.0,65.0,1,1
92,P41_Phycella_chilensis_P002_WF07,29.0,4.5,2,30.0,6.0,23.0,2.0,8.0,4.0,1,52.5,78.0,4.0,75.0,17.0,73.0,19.0,0,41.0,32.0,4.0,63.0,1,1
93,P41_Phycella_chilensis_P002_WG07,51.0,5.0,2,42.0,6.0,24.0,2.5,7.0,4.0,1,55.0,65.0,4.0,71.0,17.0,70.0,19.0,0,38.0,34.0,4.0,63.0,1,1
94,P43_Phycella_chilensis_P002_WB08,32.0,5.0,2,38.0,7.0,41.0,3.0,8.0,5.5,1,65.0,70.0,5.0,78.0,20.0,80.0,19.0,0,42.0,35.0,5.5,62.0,1,1
95,P43_Phycella_chilensis_P002_WC08,15.0,8.0,2,50.0,,42.0,3.0,7.0,4.8,1,50.0,,,65.0,16.0,66.0,16.0,0,40.0,34.0,5.0,61.0,1,1
96,P45_Phycella_fulgens_P002_WG08,80.0,12.0,8,,,70.0,4.0,11.0,7.0,1,60.0,75.0,6.0,72.0,18.0,72.0,20.0,0,40.0,31.0,3.0,55.0,1,1
97,P45_Phycella_fulgens_P002_WH08,65.0,11.0,7,53.0,15.0,56.0,4.0,12.0,7.0,1,70.0,80.0,6.0,73.0,22.0,74.0,22.0,0,36.0,28.0,4.0,52.0,1,1
98,P46_Phycella_maulensis_P002_WB09,18.0,1.0,2,32.0,3.5,30.0,0.5,5.0,4.0,0,33.0,16.0,2.0,33.0,5.0,34.0,5.0,0,,,3.0,,0,0
99,P46_Phycella_maulensis_P002_WC09,11.5,1.5,2,35.0,3.0,30.0,0.5,5.0,4.0,0,41.0,12.0,2.0,37.0,4.5,37.0,4.0,0,,,3.0,45.0,0,0
100,P46_Phycella_maulensis_P002_WD09,30.0,2.5,3,37.0,4.5,30.0,0.5,5.0,2.5,0,40.0,13.0,1.5,39.0,4.0,40.0,4.5,0,,,2.5,43.0,0,0
