,P001_WA1,P001_WA2,P001_WA3,P001_WA4,P001_WA5,P001_WA6,P001_WA7,P001_WA8,P001_WA9,P001_WB1,P001_WB2,P001_WB3,P001_WB4,P001_WB5,P001_WB6,P001_WB7,P001_WB8,P001_WB9,P001_WC1,P001_WC2,P001_WC3,P001_WC4,P001_WC5,P001_WC6,P001_WC7,P001_WC8,P001_WC9,P001_WD1,P001_WD2,P001_WD3,P001_WD4,P001_WD5,P001_WD6,P001_WD7,P001_WD8,P001_WD9,P001_WE1,P001_WE3,P001_WE4,P001_WE5,P001_WE6,P001_WE7,P001_WE8,P001_WE9,P001_WF1,P001_WF2,P001_WF3,P001_WF4,P001_WF5,P001_WF6,P001_WF7,P001_WF8,P001_WF9,P001_WG1,P001_WG2,P001_WG3,P001_WG4,P001_WG5,P001_WG6,P001_WG7,P001_WG8,P001_WH1,P001_WH2,P001_WH3,P001_WH4,P001_WH5,P001_WH6,P001_WH7,P001_WH8,P002_WA01,P002_WA02,P002_WA03,P002_WA04,P002_WA05,P002_WA06,P002_WA07,P002_WA08,P002_WA09,P002_WA10,P002_WA11,P002_WB01,P002_WB02,P002_WB03,P002_WB04,P002_WB05,P002_WB06,P002_WB07,P002_WB08,P002_WB09,P002_WB10,P002_WB11,P002_WC01,P002_WC02,P002_WC03,P002_WC04,P002_WC05,P002_WC06,P002_WC07,P002_WC09,P002_WC10,P002_WC11,P002_WD01,P002_WD02,P002_WD03,P002_WD04,P002_WD05,P002_WD06,P002_WD07,P002_WD08,P002_WD09,P002_WD10,P002_WE01,P002_WE02,P002_WE03,P002_WE04,P002_WE05,P002_WE06,P002_WE07,P002_WE08,P002_WE09,P002_WE10,P002_WF01,P002_WF02,P002_WF03,P002_WF04,P002_WF05,P002_WF06,P002_WF07,P002_WF08,P002_WF09,P002_WF10,P002_WG01,P002_WG02,P002_WG03,P002_WG04,P002_WG05,P002_WG06,P002_WG07,P002_WG08,P002_WG09,P002_WG10,P002_WH01,P002_WH02,P002_WH03,P002_WH04,P002_WH05,P002_WH06,P002_WH07,P002_WH08,P002_WH09,P002_WH10,P001_WE2,P002_WC08,P002_WD11
P001_WG8,0.0233329418,0.0231200919,0.0235100703,0.0320653818,0.0309405096,0.0276328518,0.0227703480,0.0199139487,0.0253261612,0.0245903652,0.0227924829,0.0226289506,0.0301500061,0.0317393000,0.0254290276,0.0246778348,0.0188224003,0.0249592102,0.0228166941,0.0232288394,0.0248110908,0.0299250368,0.0289154167,0.0265058976,0.0237884121,0.0199501201,0.0241308147,0.0370488640,0.0225574572,0.0248994841,0.0301262202,0.0313923121,0.0270569406,0.0243342626,0.0211087038,0.0559734257,0.0365075468,0.0243661140,0.0299486113,0.0276435407,0.0250597121,0.0197112205,0.0177672307,0.0552483292,0.0337088919,0.0220740449,0.0383262035,0.0314874215,0.0267588910,0.0222244685,0.0203530185,0.0162267890,0.0560223509,0.0229090880,0.0218736670,0.0383723338,0.0317282035,0.0363508463,0.0233946186,0.0193096582,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH1,0.0172510617,0.0156158807,0.0229248401,0.0326295635,0.0316741424,0.0291307870,0.0209640272,0.0232854744,0.0270716990,0.0182260372,0.0150857277,0.0197928562,0.0311737648,0.0311439765,0.0268318864,0.0170251964,0.0243394494,0.0264156709,0.0149183049,0.0157540309,0.0223770960,0.0308604707,0.0292219874,0.0272715583,0.0176766500,0.0232768615,0.0264612515,0.0374058471,0.0144454569,0.0224084802,0.0300634434,0.0323429060,0.0282084834,0.0174798067,0.0241916147,0.0570074951,0.0369707177,0.0214124307,0.0302065532,0.0282076489,0.0278832411,0.0240175834,0.0251590853,0.0560652207,0.0354528874,0.0161647362,0.0378536549,0.0325127663,0.0271709043,0.0197996475,0.0244511371,0.0240205579,0.0567027557,0.0166178895,0.0155640321,0.0386434864,0.0321944947,0.0365210385,0.0197956307,0.0235254979,0.0232851843,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH2,0.0179567114,0.0171735757,0.0219756956,0.0328351140,0.0334114800,0.0294121848,0.0201020738,0.0240235849,0.0275773458,0.0180272283,0.0165385049,0.0200656293,0.0316721110,0.0334973018,0.0276232698,0.0182314713,0.0248187655,0.0277975847,0.0157421898,0.0166294693,0.0221094656,0.0314790105,0.0304416776,0.0278436428,0.0180024449,0.0245581073,0.0274767881,0.0381687840,0.0169571981,0.0217294376,0.0304628656,0.0330348228,0.0289192357,0.0175197432,0.0239158662,0.0568937104,0.0370200488,0.0222302863,0.0309540749,0.0289092300,0.0270063263,0.0248527699,0.0257663661,0.0558300226,0.0347265433,0.0164873902,0.0377468998,0.0322520108,0.0278171357,0.0201669259,0.0245379719,0.0252401059,0.0567186329,0.0162972730,0.0164514143,0.0388564062,0.0329013343,0.0364627345,0.0187530683,0.0249562812,0.0241754415,0.0179665433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH3,0.0371330990,0.0366107125,0.0368829641,0.0314599043,0.0321231662,0.0354162539,0.0360063584,0.0364015630,0.0358395411,0.0379868693,0.0362791569,0.0355357112,0.0315213080,0.0320684330,0.0365080282,0.0383774230,0.0367952449,0.0364710930,0.0353998165,0.0357171689,0.0366718555,0.0318396352,0.0311409690,0.0383353332,0.0369244087,0.0367404229,0.0363656108,0.0351867964,0.0357472313,0.0370907526,0.0316402216,0.0327569592,0.0379349500,0.0377025579,0.0364681232,0.0507620958,0.0375921912,0.0357527898,0.0311408206,0.0337981180,0.0384170556,0.0379395181,0.0369437110,0.0500839112,0.0335629392,0.0365507814,0.0301546095,0.0329108176,0.0326985956,0.0372750918,0.0376791420,0.0373245141,0.0505079308,0.0361308408,0.0365239654,0.0293010504,0.0324722531,0.0346557266,0.0352400729,0.0387830179,0.0376525646,0.0372074812,0.0372307418,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH4,0.0318032445,0.0304506287,0.0316082632,0.0157142329,0.0153787695,0.0295325655,0.0319898591,0.0323625340,0.0303020483,0.0336633063,0.0305423780,0.0298144552,0.0144453584,0.0194212934,0.0311972681,0.0326439410,0.0325631088,0.0308288155,0.0304952488,0.0310478885,0.0305953972,0.0142432465,0.0190394311,0.0317421269,0.0318368403,0.0315214340,0.0296363171,0.0383559240,0.0309379128,0.0319176030,0.0153868847,0.0197654122,0.0318593105,0.0338681295,0.0325004842,0.0564659658,0.0390830592,0.0303561745,0.0164824389,0.0270757870,0.0311685043,0.0324760743,0.0341970165,0.0551052824,0.0365790387,0.0308143340,0.0343775110,0.0167534966,0.0261755913,0.0320456115,0.0332631757,0.0311349905,0.0568218523,0.0318566175,0.0300099408,0.0337510675,0.0147559102,0.0403845059,0.0317787158,0.0325997020,0.0315792849,0.0324212364,0.0328610679,0.0331050070,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH5,0.0273618279,0.0269428438,0.0282436538,0.0291073448,0.0288163347,0.0151551979,0.0273988155,0.0264148084,0.0249301513,0.0294329286,0.0271029697,0.0255469950,0.0277727030,0.0285325166,0.0253442298,0.0293622858,0.0274778561,0.0244997578,0.0264212227,0.0267934323,0.0281121307,0.0264712175,0.0257859155,0.0262097174,0.0280159463,0.0274006200,0.0239966235,0.0354983825,0.0264733127,0.0281943604,0.0271780451,0.0278653441,0.0261823732,0.0292977918,0.0270333600,0.0554106055,0.0364340181,0.0273353432,0.0277830781,0.0195073511,0.0257678467,0.0275078637,0.0286983191,0.0537666080,0.0335445812,0.0265297411,0.0365353047,0.0292605358,0.0184072262,0.0279492591,0.0283784973,0.0270217856,0.0546834729,0.0270187158,0.0257446569,0.0361529819,0.0282154712,0.0370988948,0.0271351108,0.0277209263,0.0268579606,0.0281885700,0.0287290919,0.0350839195,0.0286092573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH6,0.0200579511,0.0194105954,0.0172877612,0.0325310137,0.0318899161,0.0275127296,0.0153495565,0.0235116346,0.0254998806,0.0206226080,0.0192826621,0.0172089281,0.0303452769,0.0309003669,0.0253941733,0.0211369170,0.0221446323,0.0259892605,0.0192134403,0.0189659122,0.0185407202,0.0295475762,0.0286287639,0.0272029167,0.0195033874,0.0224678087,0.0260144200,0.0363358232,0.0189526123,0.0176826169,0.0293039103,0.0314957584,0.0275675225,0.0203474504,0.0233244735,0.0563039989,0.0345356968,0.0183289084,0.0295945934,0.0280558737,0.0264396963,0.0237383871,0.0242200812,0.0550502755,0.0332958794,0.0194442362,0.0378745969,0.0312454759,0.0263708463,0.0143148014,0.0238042837,0.0223674754,0.0560310049,0.0192192668,0.0192508044,0.0382400621,0.0309222501,0.0341935018,0.0142073845,0.0236266732,0.0229988147,0.0203550254,0.0199034293,0.0357569135,0.0314441661,0.0273059083,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH7,0.0221588320,0.0220877853,0.0231768359,0.0316014848,0.0307517192,0.0264462401,0.0215965342,0.0149626503,0.0249860159,0.0240179879,0.0219277764,0.0214910294,0.0299803734,0.0307090898,0.0246866778,0.0234343151,0.0139750808,0.0251727317,0.0217875581,0.0220052947,0.0230866094,0.0293370626,0.0289036892,0.0263540511,0.0229281544,0.0151745453,0.0244485701,0.0363240753,0.0215782201,0.0231992751,0.0293672923,0.0303859027,0.0264523215,0.0232650542,0.0156219570,0.0548706681,0.0359832400,0.0229592202,0.0294806842,0.0265264896,0.0251019223,0.0198620205,0.0197397738,0.0541929524,0.0334269857,0.0214274414,0.0377771901,0.0306622234,0.0259104183,0.0221571706,0.0198174065,0.0187591064,0.0552099381,0.0212236692,0.0216502112,0.0377942819,0.0313702682,0.0361944440,0.0212946378,0.0194644419,0.0181692855,0.0226133602,0.0229942268,0.0359809703,0.0308927512,0.0261013497,0.0220297213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH8,0.0261441155,0.0255904204,0.0272619842,0.0301026768,0.0296723873,0.0243598847,0.0257071136,0.0257521852,0.0171833253,0.0274967866,0.0249287484,0.0249569872,0.0286652215,0.0286743013,0.0233521903,0.0262150781,0.0254169107,0.0173284338,0.0246414012,0.0257320663,0.0263175673,0.0273360882,0.0270767445,0.0238760895,0.0262755008,0.0257243118,0.0166765967,0.0364600739,0.0250424427,0.0269984087,0.0275403638,0.0290842307,0.0239888682,0.0271462026,0.0262938549,0.0543883440,0.0356839546,0.0273422545,0.0280299463,0.0240195987,0.0238417515,0.0259124293,0.0268460000,0.0534733571,0.0335243052,0.0255474383,0.0371659849,0.0296695713,0.0226280651,0.0256645933,0.0264225625,0.0251241794,0.0544693150,0.0261416728,0.0243087935,0.0353595860,0.0288333598,0.0367342524,0.0262662829,0.0253493688,0.0254022478,0.0258653665,0.0279708064,0.0356601791,0.0296411508,0.0235651865,0.0260157948,0.0244937860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA01,0.0163605489,0.0160127696,0.0209459365,0.0318115754,0.0303938907,0.0279363163,0.0193809419,0.0233558851,0.0261998614,0.0166069992,0.0162764360,0.0192450087,0.0295638946,0.0309488284,0.0253359646,0.0175119289,0.0238886126,0.0261078574,0.0146140788,0.0159141238,0.0219680882,0.0296028432,0.0288035718,0.0274558830,0.0170775018,0.0233370153,0.0253443799,0.0363209216,0.0149102929,0.0216445687,0.0292879674,0.0307670428,0.0269464363,0.0169391099,0.0237548895,0.0549516831,0.0356302448,0.0214679182,0.0292862938,0.0274500761,0.0265948962,0.0240199802,0.0235922166,0.0541519387,0.0331724259,0.0158631592,0.0371948477,0.0314857916,0.0267525283,0.0193249314,0.0243096190,0.0240773218,0.0551124957,0.0147100826,0.0162331639,0.0368886939,0.0302521315,0.0351365565,0.0194126368,0.0234934424,0.0234220640,0.0158218317,0.0171938650,0.0355091013,0.0309430161,0.0273166884,0.0197794388,0.0220137662,0.0257908846,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA02,0.0370097627,0.0358218722,0.0361014421,0.0330608929,0.0315911378,0.0353302354,0.0357368652,0.0357882486,0.0358788234,0.0378615626,0.0356767606,0.0356727896,0.0308967465,0.0313508076,0.0363356852,0.0375791264,0.0366723284,0.0350108294,0.0353561031,0.0365132348,0.0362365550,0.0311128317,0.0296570284,0.0363084453,0.0359927202,0.0364371541,0.0355855341,0.0353518551,0.0356482005,0.0362020580,0.0312045681,0.0313811261,0.0366976357,0.0371175242,0.0366682009,0.0486384843,0.0359875005,0.0351393599,0.0305045085,0.0339865468,0.0371265093,0.0373224681,0.0365739459,0.0479690472,0.0310655555,0.0350620573,0.0283008637,0.0318026823,0.0320037370,0.0364472699,0.0385957713,0.0359735176,0.0486039006,0.0362781131,0.0355699975,0.0281224946,0.0311751229,0.0338498194,0.0351096282,0.0362238694,0.0371474355,0.0365400359,0.0373784057,0.0285468682,0.0324072905,0.0334549070,0.0360852687,0.0358264830,0.0347425964,0.0363329725,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA03,0.0162419450,0.0154692537,0.0208681005,0.0315443978,0.0303180711,0.0270992394,0.0195644153,0.0230428111,0.0250393501,0.0162665110,0.0145717652,0.0193645742,0.0298295035,0.0310690858,0.0252852368,0.0166280558,0.0235603087,0.0258105444,0.0147080230,0.0163590309,0.0207512515,0.0293592149,0.0283521736,0.0260670763,0.0173351078,0.0230546272,0.0248903502,0.0371943432,0.0162721481,0.0203138023,0.0288345620,0.0302298025,0.0264480743,0.0177611472,0.0239426642,0.0544068788,0.0351802391,0.0207244047,0.0296771750,0.0269456672,0.0258953331,0.0236414923,0.0239595789,0.0540020601,0.0326334397,0.0147566584,0.0364565137,0.0300559786,0.0253125301,0.0192886497,0.0239201978,0.0237252832,0.0544724441,0.0164802896,0.0158211011,0.0363567216,0.0306275582,0.0350093185,0.0193902486,0.0230098256,0.0232525511,0.0167242690,0.0165272355,0.0363565719,0.0305468730,0.0256063886,0.0186500077,0.0222174966,0.0249574947,0.0159477459,0.0353907323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA04,0.0319642428,0.0316980745,0.0332175843,0.0348039091,0.0337254691,0.0323438117,0.0323720636,0.0326471112,0.0315020720,0.0335541278,0.0310411621,0.0311607853,0.0334989817,0.0346109939,0.0313618999,0.0330274445,0.0331967629,0.0320751254,0.0306710193,0.0315515260,0.0330539240,0.0322702940,0.0317158389,0.0320671811,0.0319914287,0.0331205758,0.0319196327,0.0300248881,0.0319497052,0.0323137041,0.0326155089,0.0333539721,0.0321395908,0.0333385180,0.0333939830,0.0482929179,0.0302610135,0.0311772770,0.0329391709,0.0313367549,0.0325766102,0.0335245090,0.0323292667,0.0477911262,0.0279217333,0.0311008420,0.0324313154,0.0343201596,0.0307514420,0.0322460179,0.0337076208,0.0325653586,0.0481842384,0.0323486785,0.0311841972,0.0312777711,0.0331019400,0.0302080197,0.0316019524,0.0323162377,0.0324594403,0.0320140002,0.0331899298,0.0318181412,0.0341801541,0.0311350095,0.0316077715,0.0322648861,0.0305289931,0.0324781688,0.0319680180,0.0313251397,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA05,0.0278896481,0.0262842588,0.0279343302,0.0321527632,0.0313497780,0.0254487057,0.0268030231,0.0267818624,0.0238721129,0.0290363180,0.0261267662,0.0259218861,0.0306914345,0.0313289295,0.0177398107,0.0278742166,0.0272684435,0.0243367306,0.0266560803,0.0271798649,0.0273510894,0.0301239993,0.0290039658,0.0183757847,0.0266520416,0.0267436404,0.0237207964,0.0367583899,0.0271848895,0.0273358012,0.0298746278,0.0306028094,0.0181540755,0.0290047090,0.0273143449,0.0560286669,0.0356214787,0.0262470549,0.0296959507,0.0253076872,0.0186752066,0.0272409536,0.0271776349,0.0556973351,0.0343250160,0.0263356671,0.0385592920,0.0321292208,0.0254487739,0.0264672175,0.0287738419,0.0260640306,0.0558333003,0.0266732644,0.0259428525,0.0380497481,0.0312305074,0.0363037328,0.0270841691,0.0271254148,0.0268350090,0.0281177162,0.0285648459,0.0383500961,0.0319040778,0.0245152569,0.0272837689,0.0261293838,0.0226835580,0.0274683921,0.0359558131,0.0261770469,0.0316073485,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA06,0.0174908949,0.0172947372,0.0216707444,0.0319967009,0.0304598317,0.0273109275,0.0200070918,0.0219320954,0.0257345251,0.0174470808,0.0166267019,0.0204304402,0.0298022926,0.0306627601,0.0250112203,0.0174226555,0.0238508830,0.0268343662,0.0157719080,0.0173456199,0.0212729300,0.0295680222,0.0285880274,0.0264374326,0.0167717562,0.0233307778,0.0257193065,0.0366227309,0.0168283401,0.0210493284,0.0294904492,0.0308922613,0.0263772448,0.0175541887,0.0231819080,0.0548278264,0.0355456931,0.0208310380,0.0294235727,0.0273744028,0.0260644162,0.0237775978,0.0246197851,0.0535306717,0.0343167570,0.0167907979,0.0365950211,0.0305893038,0.0263586201,0.0193873873,0.0244990311,0.0232793408,0.0545921156,0.0165445071,0.0170251267,0.0366497423,0.0305104661,0.0357213589,0.0195156164,0.0231947499,0.0242171743,0.0178961888,0.0180996462,0.0362353073,0.0316062997,0.0262979510,0.0197361698,0.0228021016,0.0254377229,0.0169078665,0.0358272076,0.0165302243,0.0316761573,0.0259843265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA07,0.0172986963,0.0160407546,0.0206178218,0.0313080021,0.0302491480,0.0273489396,0.0193625700,0.0221516069,0.0249748117,0.0174653527,0.0153254808,0.0193354657,0.0299383576,0.0300613318,0.0249114794,0.0166150029,0.0231313300,0.0254469855,0.0150058407,0.0165304057,0.0212463393,0.0289558745,0.0279806681,0.0261399284,0.0168716126,0.0223545849,0.0246809681,0.0363572371,0.0158659615,0.0200311066,0.0289203727,0.0308277073,0.0257243149,0.0180967123,0.0227639601,0.0543489016,0.0351423183,0.0203090877,0.0288505120,0.0267149829,0.0258472000,0.0235489707,0.0240766563,0.0535964266,0.0324913862,0.0162428907,0.0365315822,0.0304002261,0.0259221899,0.0185887857,0.0234831143,0.0240027237,0.0545208914,0.0168008857,0.0169115572,0.0366596207,0.0297226124,0.0349592681,0.0190872063,0.0230451089,0.0229570594,0.0164450947,0.0175389890,0.0355755879,0.0306099045,0.0263321890,0.0188977436,0.0215096925,0.0246153666,0.0166719933,0.0341789827,0.0161516201,0.0308547040,0.0258282863,0.0148218279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA08,0.0180418379,0.0187398710,0.0207627049,0.0324823406,0.0315821067,0.0282493616,0.0201819922,0.0233331122,0.0261517739,0.0199419183,0.0178241264,0.0192123442,0.0307426475,0.0312208871,0.0261523523,0.0188523272,0.0235402878,0.0265527014,0.0173445319,0.0176899242,0.0212993179,0.0296601313,0.0290950146,0.0267428130,0.0181924831,0.0231027007,0.0260660620,0.0364897223,0.0176515684,0.0209875972,0.0293399150,0.0310347891,0.0267005410,0.0182810053,0.0234613826,0.0557730082,0.0348175343,0.0212276711,0.0294649348,0.0279062716,0.0258675842,0.0243274533,0.0241285648,0.0549379883,0.0340764323,0.0170058360,0.0373628124,0.0313343721,0.0269537985,0.0191017058,0.0234281562,0.0231592261,0.0554429959,0.0178801641,0.0173438576,0.0384046317,0.0304639735,0.0353192938,0.0192420512,0.0235927642,0.0229939162,0.0184455927,0.0182254825,0.0370936074,0.0320369246,0.0277787451,0.0196927463,0.0220646247,0.0261016664,0.0182001438,0.0362420418,0.0182919011,0.0325931414,0.0271254202,0.0175273541,0.0173880390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA09,0.0172001284,0.0165991408,0.0201463476,0.0308895234,0.0297586374,0.0265765003,0.0190318652,0.0219377941,0.0254352049,0.0176405769,0.0166642399,0.0195711747,0.0290901971,0.0299055932,0.0246104266,0.0178626197,0.0228345762,0.0251535880,0.0159607289,0.0165831359,0.0211727916,0.0288936680,0.0280783126,0.0252039216,0.0177352208,0.0224534566,0.0246506552,0.0349349910,0.0159932286,0.0205441835,0.0286579259,0.0301353880,0.0265537694,0.0170999649,0.0222463488,0.0526117098,0.0347299215,0.0205900130,0.0283372553,0.0261683288,0.0252082957,0.0226001321,0.0230364623,0.0522225625,0.0323602151,0.0157785332,0.0354838093,0.0300890889,0.0256351166,0.0191043982,0.0234980548,0.0224141116,0.0529792015,0.0165070929,0.0166386187,0.0354899532,0.0293449252,0.0337300880,0.0189251005,0.0221704209,0.0222811008,0.0170604382,0.0170515699,0.0347062807,0.0303303628,0.0256793866,0.0189890827,0.0214068801,0.0244898477,0.0155393258,0.0347457382,0.0162160616,0.0321855993,0.0265583860,0.0166069704,0.0152865249,0.0156179224,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA10,0.0626986378,0.0614670935,0.0618132684,0.0610427657,0.0613373437,0.0605753314,0.0617553537,0.0614744527,0.0606418591,0.0632814335,0.0607005981,0.0599252533,0.0606674990,0.0614264196,0.0613082005,0.0627471853,0.0629714081,0.0614354523,0.0602162390,0.0608868832,0.0613289863,0.0594830235,0.0585292515,0.0612647264,0.0617502670,0.0612937293,0.0601811353,0.0609607894,0.0603054203,0.0617342044,0.0595399232,0.0621015018,0.0622207679,0.0630077159,0.0617780046,0.0519956781,0.0616950363,0.0611495406,0.0598773711,0.0597711825,0.0618616762,0.0618811428,0.0626311442,0.0514757809,0.0580310833,0.0611708273,0.0594725172,0.0613530757,0.0590185749,0.0617728660,0.0623070254,0.0613469004,0.0522743803,0.0617572580,0.0597249994,0.0581458978,0.0600943500,0.0608512345,0.0610835063,0.0614579807,0.0612253694,0.0619557188,0.0626535521,0.0574642321,0.0613616574,0.0607354189,0.0611163917,0.0607380000,0.0600812928,0.0607088897,0.0554089619,0.0597400392,0.0564655116,0.0617798514,0.0602965090,0.0604221306,0.0613070354,0.0587527305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA11,0.1489015403,0.1479097121,0.1499840635,0.1491243214,0.1507117401,0.1500075520,0.1511663397,0.1493745351,0.1496018983,0.1502666654,0.1494822577,0.1452850753,0.1500161106,0.1495400534,0.1499634959,0.1516394582,0.1501709893,0.1502889748,0.1478239713,0.1473879448,0.1513751185,0.1469197086,0.1451956020,0.1504457360,0.1509757769,0.1490382129,0.1484882508,0.1433837931,0.1469682174,0.1503717502,0.1477492946,0.1504761120,0.1499142523,0.1515609077,0.1500748895,0.1419186133,0.1445144630,0.1495940214,0.1491361177,0.1473985538,0.1487529253,0.1502067047,0.1515156948,0.1399693132,0.1419775963,0.1490863532,0.1413896701,0.1490441013,0.1445108907,0.1499787489,0.1496141299,0.1486819276,0.1421424005,0.1490118603,0.1471888505,0.1414370590,0.1492939485,0.1472494115,0.1503464679,0.1509273060,0.1491484207,0.1508054867,0.1507377605,0.1417869970,0.1503707110,0.1504666665,0.1489184787,0.1489885457,0.1483189674,0.1488959822,0.1358020742,0.1479993628,0.1384052234,0.1494397784,0.1480695811,0.1486623406,0.1481161972,0.1440380977,0.1444093071,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB01,0.0165428787,0.0158844443,0.0191162836,0.0301444099,0.0295083586,0.0266254408,0.0184532800,0.0221291157,0.0251763924,0.0171059032,0.0156067542,0.0184817650,0.0287001007,0.0301792841,0.0239527977,0.0166487325,0.0220486760,0.0248722509,0.0148878556,0.0152209912,0.0207119650,0.0285314136,0.0279472253,0.0259410753,0.0162808004,0.0218345774,0.0244181913,0.0354196172,0.0151238000,0.0201851774,0.0283476068,0.0297157820,0.0257972324,0.0161449393,0.0226831230,0.0535777788,0.0345342499,0.0199466277,0.0284013150,0.0260214712,0.0249336761,0.0228063997,0.0233144021,0.0527549252,0.0326195407,0.0150934973,0.0359717217,0.0298629736,0.0255383446,0.0185308416,0.0231336374,0.0223897477,0.0534670399,0.0151740949,0.0155696074,0.0366772534,0.0294039174,0.0336173135,0.0184475592,0.0225364177,0.0224687169,0.0161190865,0.0158750148,0.0349315319,0.0298282710,0.0256792097,0.0181195142,0.0215835839,0.0241725776,0.0147298894,0.0358170793,0.0150998184,0.0314698231,0.0262112993,0.0164332872,0.0157774391,0.0167477899,0.0151214869,0.0596468281,0.1458250460,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB02,0.0365714985,0.0366609122,0.0358964323,0.0323288129,0.0309024725,0.0353431233,0.0353592041,0.0357949760,0.0354543426,0.0374963039,0.0357298931,0.0344713025,0.0313387489,0.0313271507,0.0347936743,0.0378395775,0.0367687363,0.0346887917,0.0354942407,0.0356217132,0.0362813379,0.0307408884,0.0298044949,0.0369501435,0.0365558269,0.0350369975,0.0354595891,0.0349392917,0.0348931804,0.0361963703,0.0312305194,0.0305848174,0.0368554380,0.0365024936,0.0355317059,0.0494998367,0.0360786520,0.0354127389,0.0300371411,0.0336672594,0.0364266832,0.0372941965,0.0365223361,0.0481020949,0.0333316035,0.0356820991,0.0287833623,0.0318021518,0.0325227011,0.0360153311,0.0366618518,0.0349177181,0.0488992347,0.0354295578,0.0351975819,0.0294876537,0.0311649192,0.0347174465,0.0354986652,0.0364300279,0.0360779957,0.0360065045,0.0375779174,0.0283257588,0.0326663515,0.0344855482,0.0351878655,0.0345115161,0.0344060663,0.0350217384,0.0263323677,0.0357881992,0.0319274074,0.0371967784,0.0353966653,0.0344560260,0.0354343294,0.0343247238,0.0570193590,0.1383535584,0.0343624492,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
