,P001_WA1,P001_WA2,P001_WA3,P001_WA4,P001_WA5,P001_WA6,P001_WA7,P001_WA8,P001_WA9,P001_WB1,P001_WB2,P001_WB3,P001_WB4,P001_WB5,P001_WB6,P001_WB7,P001_WB8,P001_WB9,P001_WC1,P001_WC2,P001_WC3,P001_WC4,P001_WC5,P001_WC6,P001_WC7,P001_WC8,P001_WC9,P001_WD1,P001_WD2,P001_WD3,P001_WD4,P001_WD5,P001_WD6,P001_WD7,P001_WD8,P001_WD9,P001_WE1,P001_WE3,P001_WE4,P001_WE5,P001_WE6,P001_WE7,P001_WE8,P001_WE9,P001_WF1,P001_WF2,P001_WF3,P001_WF4,P001_WF5,P001_WF6,P001_WF7,P001_WF8,P001_WF9,P001_WG1,P001_WG2,P001_WG3,P001_WG4,P001_WG5,P001_WG6,P001_WG7,P001_WG8,P001_WH1,P001_WH2,P001_WH3,P001_WH4,P001_WH5,P001_WH6,P001_WH7,P001_WH8,P002_WA01,P002_WA02,P002_WA03,P002_WA04,P002_WA05,P002_WA06,P002_WA07,P002_WA08,P002_WA09,P002_WA10,P002_WA11,P002_WB01,P002_WB02,P002_WB03,P002_WB04,P002_WB05,P002_WB06,P002_WB07,P002_WB08,P002_WB09,P002_WB10,P002_WB11,P002_WC01,P002_WC02,P002_WC03,P002_WC04,P002_WC05,P002_WC06,P002_WC07,P002_WC09,P002_WC10,P002_WC11,P002_WD01,P002_WD02,P002_WD03,P002_WD04,P002_WD05,P002_WD06,P002_WD07,P002_WD08,P002_WD09,P002_WD10,P002_WE01,P002_WE02,P002_WE03,P002_WE04,P002_WE05,P002_WE06,P002_WE07,P002_WE08,P002_WE09,P002_WE10,P002_WF01,P002_WF02,P002_WF03,P002_WF04,P002_WF05,P002_WF06,P002_WF07,P002_WF08,P002_WF09,P002_WF10,P002_WG01,P002_WG02,P002_WG03,P002_WG04,P002_WG05,P002_WG06,P002_WG07,P002_WG08,P002_WG09,P002_WG10,P002_WH01,P002_WH02,P002_WH03,P002_WH04,P002_WH05,P002_WH06,P002_WH07,P002_WH08,P002_WH09,P002_WH10,P001_WE2,P002_WC08,P002_WD11
P001_WC3,0.0224332171,0.0215573533,0.0175250867,0.0306641033,0.0298485274,0.0289799894,0.0184962352,0.0247929511,0.0274019630,0.0233616447,0.0213145218,0.0158447657,0.0296087165,0.0307099038,0.0263500583,0.0222681512,0.0242634303,0.0282555280,0.0214464701,0.0213008713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC4,0.0301127813,0.0296795625,0.0298382095,0.0144989809,0.0151183798,0.0268853495,0.0292630450,0.0302364762,0.0284115824,0.0319405837,0.0293066336,0.0273905197,0.0140635842,0.0193529838,0.0291079875,0.0306006896,0.0306806758,0.0289522351,0.0287900191,0.0287143833,0.0287251044,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC5,0.0298133645,0.0286746075,0.0287585013,0.0197956863,0.0180282713,0.0269996316,0.0285700434,0.0294027414,0.0274836225,0.0311649259,0.0285967617,0.0273318789,0.0178067958,0.0155011618,0.0285740502,0.0296901033,0.0295075497,0.0275816409,0.0280566179,0.0289956654,0.0289968566,0.0186315628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC6,0.0268770695,0.0265569769,0.0275163516,0.0322450137,0.0323266186,0.0259849157,0.0266377595,0.0272929756,0.0241672789,0.0282457924,0.0257317899,0.0250014661,0.0309822108,0.0320929403,0.0169026762,0.0277003969,0.0278885082,0.0248184622,0.0256190832,0.0265037053,0.0278105798,0.0300006243,0.0293592645,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC7,0.0171633710,0.0159394341,0.0204419815,0.0314201304,0.0311933143,0.0287813521,0.0196329613,0.0234065177,0.0270862026,0.0178938066,0.0160066555,0.0187838137,0.0307838886,0.0303569827,0.0266012314,0.0174568239,0.0238821628,0.0269253978,0.0151617357,0.0154956135,0.0213624616,0.0289614725,0.0280666282,0.0272190609,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC8,0.0230822603,0.0237554803,0.0241225492,0.0317019171,0.0317344482,0.0271921027,0.0230211283,0.0155915644,0.0262127098,0.0245109936,0.0233074883,0.0222398128,0.0305619790,0.0301883689,0.0250670130,0.0243589647,0.0143807583,0.0258166497,0.0227792896,0.0226476817,0.0239651667,0.0303948482,0.0294148580,0.0267657914,0.0243781928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC9,0.0266870946,0.0253086662,0.0271517685,0.0304394219,0.0290914721,0.0254234097,0.0265491188,0.0260651632,0.0165396651,0.0275058514,0.0246773211,0.0245772724,0.0289726667,0.0299016703,0.0234438347,0.0259392676,0.0258991895,0.0169672423,0.0245922567,0.0251671870,0.0269481324,0.0285246823,0.0274019951,0.0244258777,0.0258970557,0.0258811864,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD1,0.0362979661,0.0365995486,0.0365548784,0.0385420575,0.0380783289,0.0361627611,0.0366475413,0.0367604398,0.0359995927,0.0374857504,0.0357996108,0.0348770073,0.0375092039,0.0378888900,0.0356572614,0.0387514028,0.0360681161,0.0353789018,0.0366665284,0.0348496268,0.0383065419,0.0373037948,0.0362675857,0.0362941704,0.0371027215,0.0362314949,0.0364204524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD2,0.0166313639,0.0158316969,0.0198629793,0.0309896260,0.0298448359,0.0270428374,0.0188723044,0.0219694715,0.0252852080,0.0169186931,0.0153721555,0.0190314050,0.0294724826,0.0303159483,0.0249706863,0.0168267703,0.0225922887,0.0248386995,0.0148671210,0.0154667844,0.0210468977,0.0293612721,0.0283277273,0.0264512137,0.0171229667,0.0216486659,0.0244654908,0.0361780530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD3,0.0218114893,0.0203006659,0.0161751930,0.0314482002,0.0319347991,0.0288584515,0.0189706180,0.0246623809,0.0275091934,0.0230074970,0.0206239251,0.0154506819,0.0304436346,0.0311737419,0.0275362076,0.0226965635,0.0239051532,0.0281296424,0.0204401745,0.0204328211,0.0156604205,0.0296334726,0.0295231593,0.0276803518,0.0205479439,0.0246349013,0.0265802149,0.0376184692,0.0201644087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
