,Griffinia_hyacinthina,Griffinia_rochae,Griffinia_nocturna,H_cipoanum_119_cpgenome_annotated_3.0,NG4400_Hip_dutilh,BEL4494_Zeph_mesoch,NG243_Zeph_montana,NG5471_Zeph_monantha,NG4932_Zeph_advena,NG2811_Zeph_cisand,NG4922_Zeph_tenuif,Rhodolirium_laetum,NG1022_Pap_laeta,NG1069_Pap_laeta,Traubia_modesta,OG2_i1_Tra_modesta,OG2_i2_Tra_modesta,OG2_i3_Tra_modesta,Rhodolirium_montanum,OG1_i2_Rho_montan,OG1_i3_Rho_montan,OG1_i4_Rho_montan,OG3_i1_Rho_andico,OG3_i2_Rho_andico,P001_WA1,P001_WB1,P001_WC1,P001_WD1,P001_WE1,P001_WF1,P001_WG1,P001_WH1,P001_WA2,P001_WB2,P001_WC2,P001_WD2,P001_WE2,P001_WF2,P001_WG2,P001_WH2,P001_WA3,P001_WB3,P001_WC3,P001_WD3,P001_WE3,P001_WF3,P001_WG3,P001_WH3,P001_WA4,P001_WB4,P001_WC4,P001_WD4,P001_WE4,P001_WF4,P001_WG4,P001_WH4,P001_WA5,P001_WB5,P001_WC5,P001_WD5,P001_WE5,P001_WF5,P001_WG5,P001_WH5,P001_WA6,P001_WB6,P001_WC6,P001_WD6,P001_WE6,P001_WF6,P001_WG6,P001_WH6,P001_WA7,P001_WB7,P001_WC7,P001_WD7,P001_WE7,P001_WF7,P001_WG7,P001_WH7,P001_WA8,P001_WB8,P001_WC8,P001_WD8,P001_WE8,P001_WF8,P001_WG8,P001_WH8,P001_WA9,P001_WB9,P001_WC9,P002_WA01,P002_WB01,P002_WC01,P002_WE01,P002_WD01,P002_WF01,P002_WG01,P002_WH01,P002_WA02,P002_WB02,P002_WC02,P002_WD02,P002_WE02,P002_WF02,P002_WG02,P002_WH02,P002_WA03,P002_WB03,P002_WC03,P002_WD03,P002_WE03,P002_WF03,P002_WG03,P002_WH03,P002_WA04,P002_WB04,P002_WC04,P002_WD04,P002_WE04,P002_WF04,P002_WG04,P002_WH04,P002_WA05,P002_WB05,P002_WC05,P002_WD05,P002_WE05,P002_WF05,P002_WG05,P002_WH05,P002_WA06,P002_WB06,P002_WC06,P002_WD06,P002_WE06,P002_WF06,P002_WG06,P002_WH06,P002_WA07,P002_WB07,P002_WC07,P002_WD07,P002_WE07,P002_WF07,P002_WG07,P002_WH07,P002_WA08,P002_WB08,P002_WC08,P002_WD08,P002_WE08,P002_WF08,P002_WG08,P002_WH08,P002_WA09,P002_WB09,P002_WC09,P002_WD09,P002_WE09,P002_WF09
P001_WC7,0.0108857125,0.0107791411,0.0119468655,0.0089890533,0.0090896082,0.0097373654,0.0098369826,0.0087602308,0.0099596368,0.0096679592,0.0093969498,0.0060283176,0.0057534571,0.0054643701,0.0057029463,0.0054782711,0.0054872482,0.0054990840,0.0034520707,0.0033543337,0.0033255520,0.0033555690,0.0036066427,0.0036600952,0.0006001685,0.0005923696,0.0006396711,0.0012835255,0.0013217556,0.0012728931,0.0007488182,0.0007795928,0.0007661511,0.0007114017,0.0006599301,0.0007342689,0.0006447461,0.0007275090,0.0005554076,0.0005599588,0.0017929368,0.0017918697,0.0018050768,0.0018702632,0.0018053730,0.0027988434,0.0030105826,0.0028961636,0.0019547088,0.0018061809,0.0018230293,0.0017446635,0.0017968110,0.0017786511,0.0017971417,0.0017925778,0.0017961733,0.0018658934,0.0018115089,0.0017816057,0.0017525621,0.0016467580,0.0013095418,0.0018295820,0.0017558504,0.0013030374,0.0013201251,0.0013185699,0.0013171706,0.0013038000,0.0013029659,0.0012893182,0.0012885585,0.0000155807,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD7,0.0109395442,0.0108238918,0.0120140710,0.0090277452,0.0090511238,0.0098190825,0.0098807129,0.0087721276,0.0101855511,0.0096851825,0.0095809112,0.0060731120,0.0058034930,0.0054491430,0.0056725088,0.0054395350,0.0054757826,0.0054990769,0.0034418598,0.0034113991,0.0033915799,0.0034201353,0.0036474439,0.0036618344,0.0006053982,0.0005976322,0.0006913666,0.0012545926,0.0012652926,0.0012436542,0.0007533216,0.0007840632,0.0007708320,0.0007013799,0.0006494310,0.0007243188,0.0006432768,0.0007243979,0.0005686174,0.0005580246,0.0018643655,0.0018653684,0.0018756655,0.0019300698,0.0018762788,0.0028027978,0.0030171291,0.0028862646,0.0019304604,0.0018764575,0.0018934439,0.0017930214,0.0018681565,0.0017972164,0.0018831306,0.0018500122,0.0018818567,0.0019356779,0.0018818426,0.0018365155,0.0017474263,0.0016425651,0.0012802402,0.0018868429,0.0017514090,0.0012745830,0.0012908181,0.0012895147,0.0012880558,0.0012751673,0.0012739886,0.0012763734,0.0012739198,0.0000077585,0.0000234523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE7,0.0106351718,0.0104268628,0.0116760252,0.0088400795,0.0087962764,0.0094812065,0.0094692987,0.0085188910,0.0098669556,0.0092525969,0.0093130461,0.0060071994,0.0057625285,0.0053763494,0.0054950464,0.0053241236,0.0054381442,0.0052229219,0.0033863238,0.0033013300,0.0033425588,0.0033239934,0.0035173081,0.0034650975,0.0006513146,0.0006430650,0.0007092971,0.0013308194,0.0012942448,0.0013131267,0.0007337643,0.0007337582,0.0007513649,0.0007186200,0.0008031582,0.0007266069,0.0006972503,0.0008344947,0.0007759604,0.0007552617,0.0020502531,0.0020439244,0.0020486950,0.0019747299,0.0020499481,0.0027517579,0.0028261423,0.0028245461,0.0020676856,0.0020478363,0.0020643077,0.0019343963,0.0020411226,0.0019737163,0.0020067198,0.0019464134,0.0020066867,0.0020065951,0.0019488522,0.0019737792,0.0017263301,0.0017866306,0.0013729941,0.0017578372,0.0018899708,0.0013870913,0.0013788011,0.0013698554,0.0013831811,0.0013790514,0.0013779022,0.0013871202,0.0013707999,0.0008081991,0.0008283200,0.0008175515,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF7,0.0109808463,0.0108313341,0.0120732773,0.0090687712,0.0090552552,0.0098193540,0.0098929683,0.0087561622,0.0101787092,0.0096848601,0.0095567676,0.0061020589,0.0057958493,0.0054686533,0.0057417920,0.0054767392,0.0054688687,0.0055079225,0.0034597797,0.0034303438,0.0034022524,0.0034378436,0.0036874026,0.0037192823,0.0006198871,0.0006121339,0.0006979100,0.0012685918,0.0013260449,0.0012734903,0.0007676322,0.0007982696,0.0007773869,0.0007003001,0.0006330374,0.0007150500,0.0006265016,0.0007235926,0.0005599608,0.0005498653,0.0019080280,0.0019040923,0.0019270320,0.0019107036,0.0019198810,0.0028224521,0.0030198488,0.0028897493,0.0019774871,0.0019198774,0.0019451595,0.0018524035,0.0019117637,0.0018799791,0.0019344764,0.0018938310,0.0019331699,0.0019480384,0.0019020505,0.0018647336,0.0017678316,0.0016722473,0.0013023634,0.0018855244,0.0017566192,0.0013191886,0.0013358687,0.0013263047,0.0013411344,0.0012886899,0.0012874806,0.0012978182,0.0012809124,0.0003176528,0.0003279038,0.0003265285,0.0008175523,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG7,0.0108199970,0.0106857212,0.0119083680,0.0088624465,0.0089187729,0.0096468753,0.0097759988,0.0086475946,0.0098567356,0.0095381511,0.0092707049,0.0060057454,0.0057065380,0.0054408112,0.0055770884,0.0053760133,0.0053788438,0.0053842655,0.0033475174,0.0032850767,0.0032959414,0.0033018448,0.0036181396,0.0036133635,0.0005783522,0.0005705323,0.0005864683,0.0011928608,0.0011990524,0.0012031620,0.0007269546,0.0007582684,0.0007445576,0.0006586051,0.0005910469,0.0006744025,0.0006071805,0.0006822764,0.0005170737,0.0005139829,0.0018607396,0.0018624662,0.0018646458,0.0018821930,0.0018579470,0.0027642305,0.0029566291,0.0028351428,0.0019442436,0.0018504016,0.0018745687,0.0017882485,0.0018497571,0.0017869278,0.0018650016,0.0018314344,0.0018637165,0.0018865793,0.0018480421,0.0018081756,0.0017110451,0.0015877501,0.0012325300,0.0018332260,0.0016971887,0.0012366368,0.0012532117,0.0012517118,0.0012655694,0.0012133944,0.0012125592,0.0012225099,0.0012058640,0.0002969626,0.0003143856,0.0003056515,0.0007381389,0.0000704172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH7,0.0108435967,0.0107503212,0.0118876278,0.0089573142,0.0089446327,0.0096663980,0.0098591262,0.0086614588,0.0100520962,0.0096093697,0.0094528437,0.0059781752,0.0056795043,0.0053670888,0.0056129764,0.0053677909,0.0053511886,0.0053887222,0.0032775795,0.0032484221,0.0032429752,0.0032550097,0.0035071118,0.0035588575,0.0005277026,0.0005199383,0.0006135961,0.0011372045,0.0011918003,0.0011576066,0.0005202497,0.0005510224,0.0005368401,0.0004753234,0.0003988071,0.0004746060,0.0005557930,0.0004754012,0.0004751587,0.0004713382,0.0018161691,0.0018184590,0.0018285301,0.0018584563,0.0018204097,0.0026780572,0.0028726186,0.0026945437,0.0018494630,0.0018061194,0.0018227384,0.0017306050,0.0017975731,0.0017653345,0.0018128753,0.0017548660,0.0018116632,0.0017874965,0.0017335220,0.0017351954,0.0016348522,0.0015464314,0.0011949989,0.0017604234,0.0016401440,0.0011734527,0.0011975936,0.0011882558,0.0011946625,0.0011584146,0.0011573260,0.0011674190,0.0011506272,0.0004812111,0.0005003688,0.0004906823,0.0006613387,0.0004742965,0.0004389371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WA8,0.0107944662,0.0106326953,0.0117996278,0.0088057805,0.0088888175,0.0095658939,0.0097536484,0.0086409406,0.0098191297,0.0094935772,0.0093219391,0.0058774920,0.0055948129,0.0053377244,0.0055266129,0.0053200101,0.0053235672,0.0052719532,0.0032105603,0.0031808269,0.0031510388,0.0031888507,0.0034320455,0.0034966860,0.0005386875,0.0005308764,0.0006170798,0.0011129400,0.0012047605,0.0011475775,0.0005855259,0.0006167439,0.0005867351,0.0005248959,0.0004718166,0.0005473053,0.0005669289,0.0005406620,0.0004771039,0.0004809863,0.0017804063,0.0017799691,0.0017925987,0.0017620884,0.0017847853,0.0026271716,0.0028260890,0.0027223544,0.0018458968,0.0017685106,0.0017867745,0.0016936820,0.0017614516,0.0017416922,0.0017764342,0.0017406998,0.0017755589,0.0017825580,0.0017284484,0.0016899331,0.0016281742,0.0015230729,0.0011549566,0.0016916205,0.0016032822,0.0011406871,0.0011653266,0.0011564026,0.0011380442,0.0011338928,0.0011329272,0.0011431027,0.0011105856,0.0004995990,0.0005184041,0.0005092615,0.0006885093,0.0004926566,0.0004410438,0.0000625863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB8,0.0107180298,0.0106355580,0.0116895176,0.0087569314,0.0088979848,0.0094431755,0.0096047027,0.0085761970,0.0097039117,0.0094900140,0.0091096918,0.0057749297,0.0054860249,0.0053453967,0.0054824872,0.0052495621,0.0052339535,0.0053015986,0.0032102585,0.0031320496,0.0030965704,0.0031324243,0.0033817547,0.0034713883,0.0005060486,0.0004981378,0.0005300922,0.0011422580,0.0011180816,0.0011823003,0.0005458904,0.0005455495,0.0005467165,0.0004911071,0.0004376678,0.0005142430,0.0005486945,0.0005075323,0.0004440470,0.0004617770,0.0017547989,0.0017561517,0.0017668704,0.0017350532,0.0017597703,0.0026726587,0.0028591717,0.0027725403,0.0018791203,0.0017429260,0.0017671890,0.0016743285,0.0017270626,0.0017148837,0.0017427896,0.0017767406,0.0017425411,0.0017738576,0.0017185163,0.0016714586,0.0016616732,0.0015228534,0.0011914063,0.0017725026,0.0016293827,0.0011790476,0.0012034714,0.0011950433,0.0011837545,0.0011633690,0.0011633138,0.0011723733,0.0011402366,0.0004743657,0.0004923380,0.0004756290,0.0006594114,0.0004910009,0.0004457035,0.0000475115,0.0000634899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC8,0.0106854599,0.0106176317,0.0116948433,0.0088146447,0.0088305656,0.0095231694,0.0097273294,0.0086278479,0.0099839816,0.0095344131,0.0093878672,0.0058989706,0.0056057656,0.0053725827,0.0053474453,0.0051488111,0.0051849878,0.0051537792,0.0031910499,0.0031608214,0.0031462932,0.0031681486,0.0034815844,0.0034273534,0.0005145476,0.0005066276,0.0006097063,0.0011017539,0.0010737191,0.0011429292,0.0005461929,0.0005461799,0.0005633375,0.0004840373,0.0004299156,0.0005075845,0.0005260244,0.0005078826,0.0004598495,0.0004622796,0.0018025032,0.0017923223,0.0018012447,0.0017923315,0.0017936660,0.0025950285,0.0027870238,0.0025990373,0.0018130189,0.0017773176,0.0017933420,0.0017089492,0.0017615134,0.0016853123,0.0017765299,0.0017495532,0.0017762622,0.0018075857,0.0017521694,0.0017060754,0.0016183717,0.0015104059,0.0011433466,0.0017431134,0.0016081202,0.0011494195,0.0011732461,0.0011647282,0.0011769740,0.0011255320,0.0011250059,0.0011343439,0.0011248816,0.0004512523,0.0004702573,0.0004518281,0.0006254107,0.0004677820,0.0004144996,0.0000396385,0.0000557926,0.0000240853,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WD8,0.0105377607,0.0104494476,0.0114241582,0.0085395099,0.0087536959,0.0092252961,0.0094330409,0.0084684346,0.0094645171,0.0092378135,0.0090019593,0.0056994091,0.0054241317,0.0052170622,0.0051608968,0.0050136047,0.0051559846,0.0050460331,0.0031006844,0.0030223886,0.0030517503,0.0030390896,0.0033219907,0.0033947689,0.0006306472,0.0006224520,0.0007210924,0.0012144270,0.0012122448,0.0012607611,0.0006474472,0.0006469753,0.0006485207,0.0006067959,0.0005350333,0.0006066069,0.0006667340,0.0005986355,0.0005743449,0.0005521818,0.0018480946,0.0018455424,0.0018541910,0.0018665337,0.0018476393,0.0026085492,0.0028081423,0.0027264629,0.0018876850,0.0018137477,0.0018313479,0.0017578179,0.0018137341,0.0018046132,0.0018211268,0.0017997516,0.0018211418,0.0018291051,0.0017718018,0.0017573575,0.0016947227,0.0015730240,0.0012977647,0.0018175641,0.0016647576,0.0012786326,0.0012960018,0.0012952369,0.0012740076,0.0012544657,0.0012541573,0.0012628668,0.0012307925,0.0005732423,0.0005919229,0.0005747860,0.0007725327,0.0005657162,0.0005432020,0.0001642813,0.0001808876,0.0001652600,0.0001742652,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WE8,0.0108587727,0.0106697513,0.0118129048,0.0089856164,0.0090356942,0.0096670564,0.0096821639,0.0087023794,0.0098341238,0.0094567483,0.0094058735,0.0059913026,0.0057153706,0.0054496151,0.0056561038,0.0054353089,0.0054165188,0.0054735055,0.0033451312,0.0032819032,0.0032385452,0.0032831577,0.0035845450,0.0036533569,0.0005943270,0.0005863982,0.0006344460,0.0012719048,0.0013550604,0.0012916777,0.0006739870,0.0007052563,0.0006751325,0.0006515974,0.0006775194,0.0006745249,0.0006133277,0.0007391459,0.0006038708,0.0006323860,0.0018618161,0.0018817633,0.0018673436,0.0019063735,0.0018664242,0.0027632158,0.0028983260,0.0028552995,0.0020190608,0.0018828215,0.0019002339,0.0017182701,0.0018421426,0.0018283453,0.0018422025,0.0018362745,0.0018419685,0.0018968719,0.0018417644,0.0017876787,0.0017144119,0.0016877431,0.0013142478,0.0018477750,0.0017595973,0.0013086028,0.0013260098,0.0013244534,0.0013146133,0.0012935620,0.0012928746,0.0013034063,0.0012772651,0.0006497616,0.0006673437,0.0006594723,0.0007646620,0.0006427956,0.0006153796,0.0005317812,0.0005417796,0.0005297344,0.0005250626,0.0005397042,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WF8,0.0109120943,0.0107521136,0.0119725296,0.0089792156,0.0089570575,0.0097088226,0.0098437738,0.0086699266,0.0100778923,0.0096083619,0.0094878671,0.0060171380,0.0057338558,0.0054214175,0.0056331514,0.0053975161,0.0053589727,0.0054060212,0.0033231638,0.0033095669,0.0032811261,0.0033170929,0.0035735553,0.0036057020,0.0005339732,0.0005262305,0.0006196329,0.0011425938,0.0012144509,0.0011548099,0.0006040235,0.0006346547,0.0006210764,0.0005672926,0.0005151657,0.0005901427,0.0005318736,0.0005907482,0.0004505426,0.0004784777,0.0018202232,0.0018241718,0.0018236403,0.0018618791,0.0018243622,0.0026859231,0.0028912367,0.0027619885,0.0018954061,0.0018400501,0.0018571485,0.0016869134,0.0018007077,0.0017687585,0.0018078950,0.0017668872,0.0018066755,0.0018448563,0.0017911476,0.0017460070,0.0016954918,0.0015916545,0.0011838729,0.0017342172,0.0016530718,0.0011779500,0.0011868122,0.0011928941,0.0011914238,0.0011552160,0.0011618838,0.0011719580,0.0011552076,0.0004798593,0.0004990580,0.0004892953,0.0006845208,0.0004884726,0.0004457742,0.0003649548,0.0003748222,0.0003560275,0.0003485267,0.0004671307,0.0001822996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WG8,0.0108445636,0.0105615339,0.0119484564,0.0089631796,0.0090004668,0.0097195689,0.0097228505,0.0086145092,0.0099023817,0.0094788874,0.0092335569,0.0060311608,0.0057506039,0.0054237708,0.0055461497,0.0053604399,0.0053213288,0.0053880712,0.0033280728,0.0032686007,0.0032925453,0.0032927350,0.0036091359,0.0035968883,0.0004551886,0.0004473371,0.0004947296,0.0012126887,0.0013076511,0.0012318050,0.0005576065,0.0005886138,0.0005744480,0.0005196390,0.0006093139,0.0005431134,0.0004747070,0.0006851692,0.0005354114,0.0005724090,0.0018684817,0.0018627665,0.0018719312,0.0019079111,0.0018648145,0.0027204555,0.0027722851,0.0027020806,0.0019951831,0.0018894345,0.0019045790,0.0017410536,0.0018499490,0.0017817353,0.0018559667,0.0018381572,0.0018559521,0.0019024908,0.0018480810,0.0018170187,0.0016122577,0.0016267206,0.0012455746,0.0017137569,0.0017175777,0.0012497677,0.0012663433,0.0012648014,0.0012711578,0.0012267323,0.0012255663,0.0012350671,0.0012187399,0.0005730341,0.0005921171,0.0005828050,0.0005823244,0.0005741002,0.0005295713,0.0004484567,0.0004589181,0.0004556401,0.0004401209,0.0005702126,0.0002003187,0.0001020437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WH8,0.0108742870,0.0107285274,0.0119591216,0.0089735230,0.0089480309,0.0097005428,0.0098127742,0.0086731537,0.0100806331,0.0095875986,0.0094621665,0.0060171858,0.0057270649,0.0053556326,0.0056147612,0.0053840936,0.0053701032,0.0054000125,0.0033236934,0.0032945548,0.0032655018,0.0033011086,0.0035740115,0.0036139806,0.0005108480,0.0005031042,0.0005965031,0.0011109815,0.0011900057,0.0011389868,0.0006273954,0.0006580361,0.0006445313,0.0005906330,0.0005385356,0.0006131991,0.0005082140,0.0006141526,0.0004273119,0.0004470182,0.0017971187,0.0018005518,0.0018006333,0.0018382184,0.0018013183,0.0026710495,0.0028745989,0.0027614873,0.0018787792,0.0018012816,0.0018186443,0.0017105328,0.0017776515,0.0017458065,0.0018003943,0.0017668187,0.0017991797,0.0018296731,0.0017759365,0.0017308032,0.0016714375,0.0015682559,0.0011684917,0.0017735754,0.0016377764,0.0011626538,0.0011790599,0.0011775985,0.0011837201,0.0011320104,0.0011310721,0.0011410865,0.0011243663,0.0004567179,0.0004758166,0.0004660714,0.0007343297,0.0004652911,0.0004223882,0.0003881017,0.0003984224,0.0003795717,0.0003720907,0.0004670982,0.0005310956,0.0003562765,0.0004556444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WA9,0.0107152225,0.0106872438,0.0117640658,0.0088815085,0.0089386251,0.0096340605,0.0096253882,0.0086953287,0.0098341709,0.0095090534,0.0092169685,0.0058948865,0.0056145781,0.0053410107,0.0055429706,0.0053222071,0.0053329028,0.0053167946,0.0032912191,0.0031737087,0.0031850856,0.0031890959,0.0035034204,0.0035056915,0.0005196968,0.0005118187,0.0005437197,0.0010817342,0.0011797371,0.0011073793,0.0006536262,0.0006851960,0.0006708313,0.0006156702,0.0005631214,0.0006394859,0.0005238466,0.0006399760,0.0004341689,0.0004614426,0.0017302905,0.0017440744,0.0017288427,0.0017415458,0.0017283243,0.0026242345,0.0028411633,0.0027445332,0.0018493225,0.0017217151,0.0017469659,0.0016356378,0.0016960867,0.0016561490,0.0017207030,0.0017548081,0.0017196444,0.0017583205,0.0017031366,0.0016567173,0.0015944053,0.0015261578,0.0011482409,0.0017645842,0.0016217569,0.0011354527,0.0011519033,0.0011504874,0.0011637827,0.0011110972,0.0011111059,0.0011209957,0.0011110275,0.0004803819,0.0004981523,0.0004812953,0.0007186038,0.0004729540,0.0004439999,0.0004103150,0.0004202162,0.0004003075,0.0003928707,0.0004880767,0.0005522255,0.0003782150,0.0004785188,0.0000157430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WB9,0.0106731025,0.0104919912,0.0115919878,0.0087042525,0.0087546709,0.0093743889,0.0096057882,0.0085424924,0.0096801912,0.0094105171,0.0090666726,0.0059338039,0.0056208853,0.0053743007,0.0053900843,0.0052196088,0.0051838690,0.0052019955,0.0031902840,0.0031683434,0.0031614640,0.0031689243,0.0034079639,0.0034449903,0.0005224883,0.0005145679,0.0006096579,0.0011184291,0.0011691618,0.0011364386,0.0006020314,0.0006174951,0.0006191025,0.0005954145,0.0005258781,0.0005948526,0.0005259863,0.0005955564,0.0004364169,0.0004634578,0.0017553261,0.0017558693,0.0017606115,0.0017216134,0.0017544065,0.0026316834,0.0028356675,0.0026790129,0.0018402946,0.0017447839,0.0017610915,0.0016678002,0.0017218453,0.0017169691,0.0017604844,0.0017337839,0.0017604565,0.0017680769,0.0017125460,0.0016976796,0.0016495855,0.0015044680,0.0011522090,0.0017038354,0.0016236261,0.0011730869,0.0011897403,0.0011885619,0.0011932757,0.0011418262,0.0011409035,0.0011504169,0.0011260662,0.0004591123,0.0004776849,0.0004603731,0.0006921024,0.0004519141,0.0004301825,0.0003728270,0.0004065899,0.0003937990,0.0003615623,0.0004811098,0.0005495261,0.0003722244,0.0004714761,0.0000158299,0.0000240878,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P001_WC9,0.0107116519,0.0105525557,0.0116847369,0.0087363607,0.0088114987,0.0094638772,0.0095562344,0.0086325495,0.0096767286,0.0093630691,0.0090844632,0.0058741826,0.0056137825,0.0053119082,0.0053342449,0.0051467421,0.0052095850,0.0051098001,0.0031861073,0.0031089734,0.0031240146,0.0031111771,0.0033205997,0.0033456066,0.0005313576,0.0005234229,0.0006108989,0.0011063480,0.0011800294,0.0011308849,0.0006426563,0.0006742423,0.0006437008,0.0006046204,0.0005505887,0.0006281321,0.0005189954,0.0006280223,0.0004452368,0.0004635245,0.0017588201,0.0017494821,0.0017564795,0.0017222145,0.0017564376,0.0025619277,0.0027695648,0.0026483680,0.0018452769,0.0017725767,0.0017828489,0.0016856063,0.0017326621,0.0016765751,0.0017486418,0.0017273654,0.0017476834,0.0017632063,0.0017075248,0.0016849107,0.0015902728,0.0014728902,0.0011392638,0.0016427884,0.0015313340,0.0011590501,0.0011682261,0.0011747777,0.0011559013,0.0011354510,0.0011350454,0.0011445135,0.0011270057,0.0004599425,0.0004778753,0.0004608834,0.0007274979,0.0004603627,0.0004234070,0.0004055476,0.0004225431,0.0004027144,0.0003543332,0.0005074170,0.0005492845,0.0003886517,0.0004412909,0.0002142355,0.0002327183,0.0001934039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WA01,0.0107719466,0.0108565860,0.0119400837,0.0090000493,0.0090498602,0.0098872097,0.0096767959,0.0089179618,0.0101047344,0.0096495829,0.0094595237,0.0059058783,0.0058814171,0.0053038699,0.0054968331,0.0054672135,0.0054577153,0.0054735486,0.0034721060,0.0033705791,0.0034182124,0.0034002258,0.0036935933,0.0037525990,0.0015662533,0.0015583311,0.0016381770,0.0012444679,0.0012323322,0.0012794788,0.0016532068,0.0016848861,0.0016412300,0.0016579617,0.0016014445,0.0016562275,0.0016157156,0.0016103099,0.0013638106,0.0015351512,0.0019911017,0.0019902423,0.0019887358,0.0019819425,0.0019888071,0.0029520665,0.0029445917,0.0029893521,0.0018824029,0.0020364961,0.0020676823,0.0019353280,0.0020041810,0.0019763625,0.0020190576,0.0019582845,0.0020187379,0.0020343025,0.0019790774,0.0019790386,0.0019165644,0.0018729837,0.0012779311,0.0020126418,0.0019385736,0.0013050541,0.0012981458,0.0012893889,0.0013022899,0.0012978323,0.0012971549,0.0012991744,0.0012825031,0.0015740850,0.0015750461,0.0015540497,0.0016360600,0.0015928536,0.0015362818,0.0014421818,0.0014390869,0.0014522387,0.0014368838,0.0015753140,0.0015650072,0.0014401777,0.0015051068,0.0014714737,0.0014800715,0.0014551195,0.0014017875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
P002_WB01,0.0109992774,0.0106853812,0.0120096801,0.0089555088,0.0089957783,0.0097728776,0.0096646793,0.0087213927,0.0097410086,0.0093914519,0.0092905990,0.0060805890,0.0057689515,0.0054203195,0.0056150913,0.0053899352,0.0054398377,0.0053468600,0.0034542549,0.0033754057,0.0033863264,0.0033925435,0.0036877861,0.0037125733,0.0013379557,0.0013300753,0.0014014631,0.0010733530,0.0012122127,0.0011395788,0.0014409312,0.0014481153,0.0014355162,0.0014366099,0.0014516418,0.0014501648,0.0013644398,0.0014536186,0.0013493026,0.0013434350,0.0018563144,0.0018709450,0.0018602538,0.0018388521,0.0018530730,0.0027898616,0.0029167199,0.0029182363,0.0019394882,0.0018909970,0.0019253785,0.0018064013,0.0018839263,0.0017927897,0.0018832301,0.0018639251,0.0018903049,0.0019132609,0.0018586987,0.0018277002,0.0017200359,0.0017093300,0.0011305747,0.0018070023,0.0017718609,0.0011408162,0.0011422360,0.0011251965,0.0011307079,0.0011262329,0.0011249926,0.0011274186,0.0011099575,0.0013851606,0.0013855347,0.0013890631,0.0014007795,0.0013877392,0.0013410691,0.0012870002,0.0012505334,0.0012652443,0.0012608201,0.0013661740,0.0013806771,0.0012676050,0.0012677886,0.0012839116,0.0012943445,0.0012746737,0.0012759685,0.0001677442,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
